accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro,precision_weighted,recall_weighted,f1_weighted,roc_auc,pr_auc,mcc,brier_score,expected_calibration_error,model,param_count,training_time_sec,examples_per_sec,peak_memory_MB,hardware,confusion_matrix,per_slice,accuracy_ci95,macro_f1_ci95,mcc_ci95
0.809,0.8098594813435847,0.8089999999999999,0.8088674602021246,0.809,0.809,0.809,0.8098594813435847,0.809,0.8088674602021246,0.8963328888888888,0.896690078433162,0.6188588845129968,0.13070290613664462,0.021910637219746898,baseline_maxpool_mlp,962625,3.515883684158325,20478.493166430286,42.4704,NVIDIA GeForce RTX 4050 Laptop GPU,"[[1253, 247], [326, 1174]]","{""long"": {""macro_f1"": 0.7896950503504964, ""error_rate"": 0.19921491658488713, ""n"": 1019}, ""medium"": {""macro_f1"": 0.8250840436874136, ""error_rate"": 0.17457114026236126, ""n"": 991}, ""short"": {""macro_f1"": 0.7926313584597113, ""error_rate"": 0.198989898989899, ""n"": 990}}","[0.7946666666666666, 0.8226666666666667]","[0.7946487782935758, 0.8223918871819023]","[0.5904807355421744, 0.6460039211285451]"
0.87,0.8700322339190436,0.87,0.8699971688272322,0.87,0.87,0.87,0.8700322339190437,0.87,0.8699971688272323,0.9443791111111113,0.9433411422911555,0.7400322332170299,0.0997943130993435,0.06772463993976513,experimental_gru,993337,20.46420431137085,3518.3386025907444,67.38944,NVIDIA GeForce RTX 4050 Laptop GPU,"[[1298, 202], [188, 1312]]","{""long"": {""macro_f1"": 0.8557911563974997, ""error_rate"": 0.1393523061825319, ""n"": 1019}, ""medium"": {""macro_f1"": 0.8748676214217053, ""error_rate"": 0.12512613521695257, ""n"": 991}, ""short"": {""macro_f1"": 0.8697456878989542, ""error_rate"": 0.12525252525252525, ""n"": 990}}","[0.8573333333333333, 0.882]","[0.8572836045982244, 0.8819957518470665]","[0.7146543698238691, 0.764011105134413]"
0.8463333333333334,0.8469070404878468,0.8463333333333334,0.8462697744256265,0.8463333333333334,0.8463333333333334,0.8463333333333334,0.8469070404878469,0.8463333333333334,0.8462697744256266,0.9247351111111111,0.927354782205435,0.6932401364288066,0.12355151043219004,0.08756694670549282,experimental_dilated_cnn,1000193,4.3638341426849365,16499.252181866967,65.595904,NVIDIA GeForce RTX 4050 Laptop GPU,"[[1300, 200], [261, 1239]]","{""long"": {""macro_f1"": 0.8215950253561941, ""error_rate"": 0.17075564278704614, ""n"": 1019}, ""medium"": {""macro_f1"": 0.8667413715822501, ""error_rate"": 0.13319878910191726, ""n"": 991}, ""short"": {""macro_f1"": 0.8386196060614666, ""error_rate"": 0.15656565656565657, ""n"": 990}}","[0.8336666666666667, 0.8596666666666667]","[0.8334703652338629, 0.8594380035344165]","[0.6674438991038334, 0.7193360616806971]"
