sample_id,style_score_1to5,content_score_1to5,artifact_free_score_1to5
sample_23,,,
sample_18,,,
sample_30,,,
sample_07,,,
sample_27,,,
sample_29,,,
sample_12,,,
sample_25,,,
sample_06,,,
sample_15,,,
sample_17,,,
sample_04,,,
sample_08,,,
sample_13,,,
sample_20,,,
sample_11,,,
sample_24,,,
sample_02,,,
sample_21,,,
sample_09,,,
sample_16,,,
sample_19,,,
sample_14,,,
sample_10,,,
sample_01,,,
sample_26,,,
sample_28,,,
sample_05,,,
sample_22,,,
sample_03,,,
